食物,热量,链接
番茄炒蛋，又叫番茄炒鸡蛋、西红柿炒蛋、柿子炒鸡蛋、番茄炒鸡蛋、西红柿炒鸡蛋、番茄炒蛋、柿子鸡蛋,热量：71 大卡(每100克),http://www.boohee.com/shiwu/fanqiechaodan
茶叶蛋，又叫茶叶蛋、茶叶鸡蛋、煮茶叶蛋,热量：111 大卡(每100克),http://www.boohee.com/shiwu/wuxiangchadan
蒸南瓜，又叫蒸南瓜,热量：21 大卡(每100克),http://www.boohee.com/shiwu/zhengnangua
炒上海青，又叫炒青菜、清炒上海青、小油菜，清炒油菜，清炒青菜，素炒青菜,热量：31 大卡(每100克),http://www.boohee.com/shiwu/chaoqingcai
菜包子，又叫香菇菜包、菜包子、素包子、素包、香菇青菜包、素菜包、香菇青菜包、香菇包子,热量：140 大卡(每100克),http://www.boohee.com/shiwu/xiangguqingcaibaozi
清炒卷心菜，又叫炒卷心菜、卷心菜，炒包菜，炒包心菜,热量：35 大卡(每100克),http://www.boohee.com/shiwu/qingchaojuanxincai
清炒白菜，又叫蒜蓉白菜,热量：31 大卡(每100克),http://www.boohee.com/shiwu/qingchaobaicai
卤蛋，又叫卤鸡蛋,热量：75 大卡(每100克),http://www.boohee.com/shiwu/lujidan
盐水虾，又叫焖鲜虾,热量：59 大卡(每100克),http://www.boohee.com/shiwu/yanshuixia
烧麦，又叫烧卖、糯米烧卖,热量：211 大卡(每100克),http://www.boohee.com/shiwu/shaomai
煮玉米，又叫熟玉米,热量：84 大卡(每100克),http://www.boohee.com/shiwu/zhuyumi
鸡蛋羹，又叫蒸蛋，水蛋,热量：44 大卡(每100克),http://www.boohee.com/shiwu/qingzhengjidangeng
素炒小白菜，又叫小青菜,热量：31 大卡(每100克),http://www.boohee.com/shiwu/suchaoxiaobaicai
清炒油麦菜,热量：28 大卡(每100克),http://www.boohee.com/shiwu/qingchaoyoumaicai
卤牛肉,热量：73 大卡(每100克),http://www.boohee.com/shiwu/luniurou
西红柿鸡蛋汤，又叫西红柿蛋汤、西红柿蛋花汤,热量：24 大卡(每100克),http://www.boohee.com/shiwu/xihongshijidantang
蒜蓉西兰花，又叫蒜泥西兰花,热量：29 大卡(每100克),http://www.boohee.com/shiwu/suanrongxilanhua
小笼包，又叫南翔小笼 ,热量：240 大卡(每100克),http://www.boohee.com/shiwu/shanghainanxiangxiaolongbao
